"","LUC_old","LUC_new"
"1639","Undefined (before)","Single Family Residential Urban (after)"
"1640","Undefined (before)","Single Family Residential Urban (after)"
"1641","Undefined (before)","Single Family Residential Urban (after)"
"1642","Undefined (before)","Single Family Residential Urban (after)"
"1643","Undefined (before)","Single Family Residential Urban (after)"
"1644","Undefined (before)","Single Family Residential Urban (after)"
"1645","Undefined (before)","Single Family Residential Urban (after)"
"1646","Undefined (before)","Single Family Residential Urban (after)"
"1647","Undefined (before)","Single Family Residential Urban (after)"
"1648","Undefined (before)","Single Family Residential Urban (after)"
"1649","Undefined (before)","Single Family Residential Urban (after)"
"1650","Undefined (before)","Single Family Residential Urban (after)"
"1651","Undefined (before)","Single Family Residential Urban (after)"
"1652","Undefined (before)","Single Family Residential Urban (after)"
"1653","Undefined (before)","Single Family Residential Urban (after)"
"1654","Undefined (before)","Single Family Residential Urban (after)"
"1655","Undefined (before)","Single Family Residential Urban (after)"
"1656","Undefined (before)","Single Family Residential Urban (after)"
"1657","Undefined (before)","Single Family Residential Urban (after)"
"1658","Undefined (before)","Single Family Residential Urban (after)"
"1659","Undefined (before)","Single Family Residential Urban (after)"
"1660","Undefined (before)","Other (after)"
"1661","Undefined (before)","Other (after)"
"1662","Undefined (before)","Other (after)"
"1663","Undefined (before)","Other (after)"
"1664","Undefined (before)","Other (after)"
"1665","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1666","Single Family Residential Suburban (before)","Other (after)"
"1667","Commerical / Industrial (before)","Commerical / Industrial (after)"
"1668","Other (before)","Other (after)"
"1669","Other (before)","Other (after)"
"1670","Other (before)","Other (after)"
"1671","Other (before)","Other (after)"
"1672","Other (before)","Other (after)"
"1673","Other (before)","Other (after)"
"1674","Other (before)","Other (after)"
"1675","Other (before)","Other (after)"
"1676","Other (before)","Other (after)"
"1677","Other (before)","Other (after)"
"1678","Other (before)","Other (after)"
"1679","Other (before)","Other (after)"
"1680","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1681","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1682","Undefined (before)","Single Family Residential Suburban (after)"
"1683","Undefined (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1684","Undefined (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1685","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1686","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1687","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1688","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1689","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1690","Single Family Residential Suburban (before)","Undefined (after)"
"1691","Single Family Residential Suburban (before)","Undefined (after)"
"1692","Single Family Residential Suburban (before)","Undefined (after)"
"1693","Single Family Residential Suburban (before)","Undefined (after)"
"1694","Single Family Residential Suburban (before)","Undefined (after)"
"1695","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"1696","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"1697","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"1698","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"1699","Commerical / Industrial (before)","Undefined (after)"
"1700","Commerical / Industrial (before)","Undefined (after)"
"1701","Single Family Residential Suburban (before)","Undefined (after)"
"1702","Single Family Residential Suburban (before)","Undefined (after)"
"1703","Single Family Residential Suburban (before)","Undefined (after)"
"1704","Single Family Residential Suburban (before)","Undefined (after)"
"1705","Single Family Residential Suburban (before)","Undefined (after)"
"1706","Single Family Residential Suburban (before)","Undefined (after)"
"1707","Single Family Residential Suburban (before)","Undefined (after)"
"1708","Single Family Residential Suburban (before)","Undefined (after)"
"1709","Single Family Residential Suburban (before)","Undefined (after)"
"1710","Single Family Residential Suburban (before)","Undefined (after)"
"1711","Single Family Residential Suburban (before)","Undefined (after)"
"1712","Single Family Residential Suburban (before)","Undefined (after)"
"1713","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1714","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1715","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1716","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1717","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1718","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1719","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1720","Single Family Residential Suburban (before)","Undefined (after)"
"1721","Single Family Residential Suburban (before)","Undefined (after)"
"1722","Single Family Residential Suburban (before)","Undefined (after)"
"1723","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"1724","Single Family Residential Suburban (before)","Undefined (after)"
"1725","Single Family Residential Suburban (before)","Undefined (after)"
"1726","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1727","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1728","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1729","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1730","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1731","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1732","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1733","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1734","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1735","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1736","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1737","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
"1738","Agricultural / Undeveloped (20-99 Acres) (before)","Undefined (after)"
